name,age,tax_id,gender,street_name,post_code
John Smith,41,29476,Male,23 Oxford Street,NW1 4LR
Mary Jones,62,94837,Female,12 Main Street,SE1 7AA
James Taylor,22,50232,Male,1 High Street,N3 5XE
Emily White,76,8536,Female,5 Station Road,E14 9PW
David Brown,45,45183,Male,9 Wood Street,W1 5BT
Julia Miller,83,37284,Female,32 Park Avenue,NW3 4PY
Michael Davis,18,63842,Male,3 Market Square,SE5 7YU
Sarah Wilson,93,82419,Female,7 Bridge Street,N1 6AB
Mark Anderson,38,30497,Male,2 Avenue Road,SW1 9QH
Paul Taylor,72,19583,Male,8 King Street,EC1 4TH
Karen Johnson,34,5846,Female,4 Church Street,WC2 6QS
Steven White,88,47219,Male,1 Victoria Road,W2 5RU
Elizabeth Brown,50,73845,Female,6 High Street,E1 8QT
Helen Moore,27,38765,Female,20 Station Road,NW10 2XA
Brian Miller,59,9837,Male,15 Oxford Street,SE11 4RT
Linda Davis,81,63428,Female,2 Market Square,N2 9TJ
Andrew Wilson,40,52846,Male,7 Main Street,EC2 4HG
Kathleen Anderson,64,23975,Female,11 Wood Street,W3 5DF
David Taylor,22,58432,Male,3 Park Avenue,SW3 6PY
Carol Johnson,36,37289,Female,10 Church Street,E2 7XS
Joshua White,95,9873,Male,5 Avenue Road,N4 8RU
Susan Brown,49,84530,Female,9 Victoria Road,NW8 5TU
Matthew Moore,31,47583,Male,4 Bridge Street,SE12 6AB
Barbara Miller,68,29384,Female,14 Oxford Street,EC3 3JH
William Davis,19,62745,Male,6 High Street,WC1 8QT
Margaret Wilson,90,34892,Female,1 Station Road,W4 7RU
Brian Anderson,44,9527,Male,12 Wood Street,N5 9DF
Lisa Taylor,74,82463,Female,7 Park Avenue,SW5 7PY
Anthony Johnson,28,53987,Male,20 Church Street,E3 8XS
